date,headline,url
2022-06-21,"Statement by Donald J. Trump, 45th President of the United States of America",/news/news-4tr2vmg4p70
2022-06-21,ICYMI: Truth by Donald J. Trump,/news/news-jcgyxtjzfz2155
2022-06-21,ICYMI: Truth by Donald J. Trump,/news/news-wekbnwufxq2156
2022-06-21,ICYMI: Truth by Donald J. Trump,/news/news-849xgdpf7u2157
2022-06-21,ICYMI: Truth by Donald J. Trump,/news/news-aqrwqa6exy2158
2022-06-20,Endorsement of Congressman Rob Wittman,/news/news-wzrtq6jhav2159
2022-06-19,ICYMI: Truth by Donald J. Trump,/news/news-wr6ecguma62149
2022-06-19,ICYMI: Truth by Donald J. Trump,/news/news-8ujeunva3k2150
2022-06-19,ICYMI: Truth by Donald J. Trump,/news/news-hrzxbp4bkh2151
2022-06-19,ICYMI: Truth by Donald J. Trump,/news/news-tt5z54ucw42152
2022-06-18,ICYMI: “Forestry poll: Katie Britt sees lead increase after Trump endorsement”,/news/news-yppjyja5uz2153
2022-06-16,Endorsement of Congressman Tracey Mann,/news/news-8v8zzaxkbp2144
2022-06-16,Endorsement of Congressman Clay Higgins,/news/news-sbfqrmzcbx2145
2022-06-16,45th President of the United States Donald J. Trump to Hold a Rally in Illinois,/news/news-nwfm8fgxk32146
2022-06-16,ICYMI: Truth by Donald J. Trump,/news/news-4k4kjnzz4m2141
2022-06-16,ICYMI: Truth by Donald J. Trump,/news/news-eeykp27kvy2142
2022-06-14,Endorsement of Abraham Hamadeh,/news/news-mxajfuhsrg2137
2022-06-14,ICYMI: “Senate Candidate Jumps To Top Of Crowded Field After Trump Endorses Him”,/news/news-ysecgumwpz2138
2022-06-14,ICYMI: “The J6 Pilot Flopped”,/news/news-yah36csyzz2139
2022-06-13,"Statement by Donald J. Trump, 45th President of the United States of America",/news/news-akke2ujbuk2135
