date,headline,url,body_text
2022-04-26,"ICYMI: “Exclusive: 6,000 Migrants in Tijuana Waiting to Rush U.S.-Mexico Border When Joe Biden Ends Title 42”",/news/news-6wxwvqrbym0,Read the full article by John Binder with Breitbart here. 
2022-04-26,ICYMI: “Biden’s border neglect has caused a national security and drug crisis”,/news/news-v6js7mjc7n0,Read the full article by Sen. Bill Hagerty for the Washington Examiner here. 
2022-04-26,"Statement by Donald J. Trump, 45th President of the United States of America",/news/news-qmxmvuqdak0,Truth Social is number ONE in the Apple App Store! 
2022-04-25,"ICYMI: “Trump will not return to Twitter even as Elon Musk purchases platform, will begin using his own TRUTH Social”",/news/news-bappxprwrd0,Read the full article by Brooke Singman with Fox News here. 
2022-04-25,"Statement by Donald J. Trump, 45th President of the United States of America",/news/news-w6gckyphf60,"Last night's debate in Georgia was a BIG win for David Perdue, who exposed Brian Kemp as the RINO that we all know him to be. It also showed how important it is for the MAGA voters to go and support David Perdue in the Election. It is not easy to beat an incumbent, however, if our voters turn out, David Perdue will win in a landslide. A lot is on the line, including record-setting CRIME, which Brian Kemp has done nothing about, letting great communities like Buckhead be overrun by theft, murders, shootings, and drug deals. David Perdue will fight for Georgia, and he is the only Republican who can beat Stacey “The Hoax” Abrams, because MAGA voters will not come out to vote for Kemp. Very sadly, a Kemp win will negatively affect the great Herschel Walker’s race for the Senate—it will be very hard for him to win with Kemp on the ticket. Don't let the Democrats, or the RINOs, win in Georgia. Vote for David Perdue, a really wonderful man who will be a great Governor!"
2022-04-25,"Statement by Donald J. Trump, 45th President of the United States of America",/news/news-emqsfmjxxh0,"Kari Lake is doing an incredible job running for Governor of the Great State of Arizona. She is fearless and is way ahead in the polls. Very honored to say that she has my Complete and Total Endorsement. Keep going, Kari!"
2022-04-25,"Statement by Donald J. Trump, 45th President of the United States of America",/news/news-3wzjcup2nw0,"Congratulations to Matt DePerno and Kristina Karamo on their tremendous victories on Saturday evening in Michigan. This is just the beginning. They easily beat their RINO challengers because Matt and Kristina are unafraid to speak honestly about the Rigged and Stolen 2020 Presidential Election. Now onto November, where they will fight, and win, against Michigan’s Radical Left Democrats. Great job!"
2022-04-25,"Statement by Donald J. Trump, 45th President of the United States of America",/news/news-nashjtsaaq0,"Congressman Alex Mooney is a conservative warrior running in West Virginia’s 2nd Congressional District. His opponent is a RINO who supported the “Unfrastucture Bill” and the Sham January 6 Unselect Committee. Alex fights for our Veterans, for Energy and Clean Coal, Election Integrity, our Borders, Jobs, and against the horrible drug epidemic. On May 10th, Vote for Alex Mooney, who has my Complete and Total Endorsement. I love West Virginia! "
2022-04-25,"Statement by Donald J. Trump, 45th President of the United States of America",/news/news-wyhrtmngeq0,"The Special Counsel appointed by the Wisconsin Assembly to investigate the crimes of the 2020 Election did an outstanding job. He discovered many pieces of evidence that indicate foul play. Anyone calling themselves a Republican in Wisconsin should support the continued investigation in Wisconsin without interference. After all of the evidence the report brought to light, how could anyone want to stop it? I understand some RINOs have primary challengers in Wisconsin. I’m sure their primary opponents would get a huge bump in the polls if these RINOs interfere."
2022-04-25,45th President of the United States Donald J. Trump to Hold a Rally in Pennsylvania,/news/news-3j6gfb2nzd0,"President Donald J. Trump, 45th President of the United States of America, will hold a rally in Greensburg, Pennsylvania, on Friday, May 6, 2022, at 8:00PM EDT. Friday, May 6, 2022, at 8:00PM EDTPresident Donald J. Trump, 45th President of the United States of America, Delivers Remarks in support of Dr. Oz, Candidate for U.S. Senate, and other endorsed candidates. Venue:Westmoreland Fairgrounds123 Blue Ribbon LaneGreensburg, PA 15601 Timeline of Events:8:00AM – Parking and Line Opens3:00PM – Doors Open and Entertainment Begins5:00PM – Pre-program Speakers Deliver Remarks8:00PM – 45th President of the United States Donald J. Trump Delivers Remarks General Admission Tickets:REGISTER HERE Request Media Credentials:REGISTER HERE All requests for media credentials must be submitted by Wednesday, May 4, 2022, at 5:00PM EDT."
2022-04-23,"Statement by Donald J. Trump, 45th President of the United States of America",/news/news-xxqtvujdyu1918,"I want to extend my deepest condolences to the family of the great Senator Orrin Hatch, his wife Elaine, and his six children. Orrin was a true warrior for our Country, for liberty, and for his beloved state of Utah. He was as wise as he was kind, and as tough as he was smart—he loved America and his contributions to our Country were tremendous. His legacy will surely live on through the many lives he impacted. May God bless Orrin Hatch."
2022-04-23,"Statement by Donald J. Trump, 45th President of the United States of America",/news/news-tq4fkhxtgk1919,"Why did Twitter quickly take down this video that I made on January 6th, and why isn’t the Unselect Committee of political hacks talking about it?  "
2022-04-23,"Statement by Donald J. Trump, 45th President of the United States of America",/news/news-ug5swbjcyu1920,"Join me tonight in the Great State of Ohio—live at 7:00PM ET on Right Side Broadcasting, Newsmax, Real America’s Voice, and Donald J. Trump Rumble, among others. Big crowd!"
2022-04-23,Endorsement of Congressman Troy Balderson,/news/news-gtf4guwyxm1921,"Congressman Troy Balderson is a fantastic Representative of Ohio’s 12th Congressional District! Troy works hard to Promote American Agriculture, Secure the Border, Defend the Second Amendment, Support our Military, Vets, and Law Enforcement, and Reclaim American Energy Independence. Troy Balderson is doing a great job in Congress, and has my Complete and Total Endorsement!"
2022-04-23,Endorsement of Congressman Steve Chabot,/news/news-thmbj4ptdh1922,"Congressman Steve Chabot is delivering results for the incredible people of Southwest Ohio. Steve is fighting hard to Support Small Business, Grow our Economy, Lower Your Taxes, Defend Life, and Protect our Communities from Criminals. Tough on China and Strong on Border Security, Steve Chabot has my Complete and Total Endorsement!"
2022-04-23,"Statement by Donald J. Trump, 45th President of the United States of America",/news/news-krtuqe2v3p1923,"Congratulations to Matt DePerno and Kristina Karamo on their incredible victory in Michigan! They will go on to big victories for Attorney General and Secretary of State. I will back them strongly. Michigan is one of the worst on Election Fraud and corruption, and they will put an end to it. At the same time, they’ll get to the bottom of the 2020 Election Fraud!"
2022-04-23,"Statement by Donald J. Trump, 45th President of the United States of America",/news/news-t5eqdjjxby1924,"Heading to Ohio for a big rally tonight, great crowd. See you there!"
