date,headline,url,body_text
2022-10-18,"Save America Announces Special Guest Speakers in Robstown, Texas",/news/news-ne9swgdfzw0,"President Donald J. Trump, 45th President of the United States of America, will be joined by endorsed candidates, members of the Texas congressional delegation and other special guests on Saturday, October 22, 2022, in Robstown, TX. Saturday, October 22, 2022, at 7:00PM CDTPresident Donald J. Trump, 45th President of the United States of America, delivers remarks in support of his unprecedented effort to advance the MAGA agenda by energizing voters and highlighting the slate of 33-0 Trump Endorsed America First candidates in the Great State of Texas. Venue:Richard M. Borchard Regional Fairgrounds1213 Terry Shamsie Blvd.Robstown, TX 78380 Special Guest Speakers:Lt. Governor Dan Patrick, Lieutenant Governor of TexasAttorney General Ken Paxton, Attorney General of TexasRep. Michael Cloud, U.S. Representative for Texas’ 27th Congressional DistrictMr. Tom Homan, Former Acting Director of U.S. Immigration and Customs EnforcementMr. Brandon Judd, President of the National Border Patrol Council Timeline of Events:8:00AM – Parking Lots, Vendor Row Open11:00AM – Registration Tables Open2:00PM – Doors Open4:00PM – Special Guest Speakers Deliver Remarks7:00PM – 45th President of the United States Donald J. Trump Delivers RemarksEntertainment and Concessions will be available throughout the day! General Admission Tickets:REGISTER HERE Request Media Credentials:REGISTER HERE All requests for media credentials must be submitted by Thursday, October 20, 2022, at 5:00PM CDT."
2022-10-17,"Statement by Donald J. Trump, 45th President of the United States of America",/news/news-2b5j24t3zm0,"Derek Schmidt, the highly respected Attorney General of the Great State of Kansas, has done an absolutely outstanding job—HE HAS KEPT KANSAS SAFE.  Derek is now running for Governor and will be a popular and very wise choice.  He is Strong on Crime, the Borders, and our always under siege Second Amendment. He loves our Military and our Vets.  Derek Schmidt will never let you down, and has my Complete and Total Endorsement!"
2022-10-17,"ICYMI: “Truth Social Gets Google Greenlight, Soars to Top of Android Charts”",/news/news-4ww2mxwgp42635,Read the full article by Alana Mastrangelo with Breitbart here. 
2022-10-17,45th President of the United States Donald J. Trump to Hold a Rally in Texas,/news/news-96zqzexjhm2636,"President Donald J. Trump, 45th President of the United States of America, will hold a rally in Robstown, Texas on Saturday, October 22, 2022, at 7:00PM CDT. Saturday, October 22, 2022, at 7:00PM CDTPresident Donald J. Trump, 45th President of the United States of America, delivers remarks in support of his unprecedented effort to advance the MAGA agenda by energizing voters and highlighting the slate of 33-0 Trump Endorsed America First candidates in the Great State of Texas.Additional Special Guest Speakers will be Announced. Venue:Richard M. Borchard Regional Fairgrounds1213 Terry Shamsie Blvd.Robstown, TX 78380 Timeline of Events:8:00AM – Parking Lots, Vendor Row, and Registration Open2:00PM – Doors Open4:00PM – Special Guest Speakers Deliver Remarks7:00PM – 45th President of the United States Donald J. Trump Delivers RemarksEntertainment and Concessions will be available throughout the day! General Admission Tickets:REGISTER HERE Request Media Credentials:REGISTER HERE All requests for media credentials must be submitted by Thursday, October 20, 2022, at 5:00PM CDT."
2022-10-16,ICYMI: Nunes: Truth Social rockets to #1 in Google Play + Durham trial,/news/news-rrpqnw8qsw2637,
2022-10-15,ICYMI: “Boxes of top secret documents go missing”,/news/news-gfttsjprws0,"NARA has “lost” massive amounts of information from past Presidents, including classified and nuclear secrets all over the place, and they don't care, they only care about going after ""Trump,"" even though we've done everything right as per the Presidential Records Act and the Clinton “Socks” Case. Read the full article here. "
2022-10-15,ICYMI: “Boxes of top secret documents go missing”,/news/news-gba5tqasqa2638,"NARA has “lost” massive amounts of information from past Presidents, including classified and nuclear secrets all over the place, and they don't care, they only care about going after ""Trump,"" even though we've done everything right as per the Presidential Records Act and the Clinton “Socks” Case. Read the full article here. "
2022-10-15,Endorsement of Andy Ogles,/news/news-pczzrd6wwa0,"Andy Ogles will be an outstanding Representative for Tennessee’s 5th Congressional District! As the former and outstanding Mayor of Maury County, Andy knows how to Create Jobs, Grow the Economy, Keep our Neighborhoods Safe, and Protect our Constitutional Rights. In Congress, Andy will Secure our Southern Border, Stop Inflation, Uphold the Rule of Law, and Defend our Second Amendment. Andy Ogles is a tireless fighter for our America First agenda, and has my Complete and Total Endorsement!"
2022-10-15,Endorsement of Andy Ogles,/news/news-jf2hfnyevq2639,"Andy Ogles will be an outstanding Representative for Tennessee’s 5th Congressional District! As the former and outstanding Mayor of Maury County, Andy knows how to Create Jobs, Grow the Economy, Keep our Neighborhoods Safe, and Protect our Constitutional Rights. In Congress, Andy will Secure our Southern Border, Stop Inflation, Uphold the Rule of Law, and Defend our Second Amendment. Andy Ogles is a tireless fighter for our America First agenda, and has my Complete and Total Endorsement!"
2022-10-14,“PEACEFULLY AND PATRIOTICALLY”,/news/news-gfszcuhd2c2640,Read here. 
2022-10-14,“PEACEFULLY AND PATRIOTICALLY”,/news/news-cwdghv9ahb2610,Read here. 
2022-10-14,ICYMI: “Trump ‘loves the idea of testifying’ before Jan. 6 committee: source close to the former president”,/news/news-amfprjgrfc2641,Read the full article from Fox News here. 
2022-10-14,ICYMI: “Trump ‘loves the idea of testifying’ before Jan. 6 committee: source close to the former president”,/news/news-awucfyvg8b2611,Read the full article from Fox News here. 
2022-10-14,ICYMI: “A Phone Call from President Trump”,/news/news-jch5xxjv3j2642,Read the full article from the American Mind here. 
2022-10-14,ICYMI: “A Phone Call from President Trump”,/news/news-x2wmchqads2612,Read the full article from the American Mind here. 
2022-10-14,ICYMI: “GOP Surging Toward the Finish Line as Republican Lead Grows in Competitive Districts”,/news/news-wgfykpbapc2643,Read the full article from PJ Media here. 
2022-10-14,ICYMI: “GOP Surging Toward the Finish Line as Republican Lead Grows in Competitive Districts”,/news/news-hrmd8wrsd62613,Read the full article from PJ Media here. 
