date,headline,url,body_text
2022-04-21,Endorsement of Congressman Mike Carey,/news/news-w7fukyaa5a0,"Congressman Mike Carey is doing a fantastic job representing the people of Ohio’s 15th Congressional District. With my endorsement, Mike resoundingly won his special election last year. True to his campaign promises, Mike has been a courageous fighter for Ohio and our Economy. He is Strong on the Border, Tough on Crime, Defends the Second Amendment, and as a Veteran, he is actively working to support our Brave Military and Vets. Mike Carey has my Complete and Total Endorsement!"
2022-04-21,Endorsement of Congressman Bill Johnson,/news/news-ymqryh3tmq0,"Congressman Bill Johnson is a fantastic Representative of the people of Ohio’s 6th Congressional District. A 26-year U.S. Air Force veteran and a respected leader in Ohio, Bill is fighting to Support our Military and Vets, Defend our Second Amendment, Secure the Southern Border, Promote American Energy Independence and Protect the Coal, Oil, and Gas Jobs that come with it. Bill Johnson was an early supporter of our MAGA movement, and he has my Complete and Total Endorsement!"
2022-04-21,Endorsement of Congressman Brad Wenstrup,/news/news-scese84qa80,"Congressman Brad Wenstrup is doing a terrific job for the wonderful people of Ohio’s 2nd Congressional District! A physician and co-chairman of the Republican Doctors’ Caucus, Brad is working hard to Lower Health Care Costs and provide our Seniors with the Care they deserve. Brad is also a Colonel in the U.S. Army Reserve, and is a strong supporter of our Military, Vets, Law Enforcement, Small Business and the Second Amendment. Brad Wenstrup has my Complete and Total Endorsement!"
2022-04-18,Endorsement of Congressman Ralph Norman,/news/news-97vsrrseeu1888,"Congressman Ralph Norman is a great Representative of the people of South Carolina’s 5th Congressional District! Ralph is a fierce advocate for our America First movement. He is working hard to Secure the Southern Border, Lower your Taxes, Support our Brave Military and Vets, Protect the Second Amendment, and hold the Radical Left accountable for their abject failure. Ralph Norman has my Complete and Total Endorsement. He will never let you down!"
2022-04-18,Endorsement of Congressman William Timmons,/news/news-hbdtjzaefn1889,"Congressman William Timmons is a terrific advocate for the people of South Carolina’s 4th Congressional District! A Captain in the Air National Guard, he fights hard to Secure our Borders, Support our Military and Vets, Protect Life, Defend our Second Amendment, and hold Joe Biden and the Radical Left accountable. William Timmons has been a steadfast supporter of our America First agenda, and has my Complete and Total Endorsement!"
2022-04-15,PRESIDENT DONALD J. TRUMP ENDORSES J.D. VANCE FOR THE UNITED STATES SENATE IN OHIO,/news/news-w3bcbxwaju1882,"MAGA patriots from across the nation are set to deliver an election landside for Republicans that will serve as a devastating rebuke of the failures of Joe Biden and the Radical Left Democrats. In the Great State of Ohio, the candidate most qualified and ready to win in November is J.D. Vance. We cannot play games. It is all about winning! Like some others, J.D. Vance may have said some not so great things about me in the past, but he gets it now, and I have seen that in spades. He is our best chance for victory in what could be a very tough race. The Democrats will be spending many millions of dollars, but the good news is that they have a defective candidate who ran for President and garnered exactly zero percent in the polls. The bottom line is, we must have a Republican victory in Ohio.   This is not an easy endorsement for me to make because I like and respect some of the other candidates in the race—they’ve said great things about “Trump” and, like me, they love Ohio and love our Country. I’ve studied this race closely and I think J.D. is the most likely to take out the weak, but dangerous, Democrat opponent—dangerous because they will have so much money to spend. However, J.D. will destroy him in the debates and will fight for the MAGA Movement in the Senate. He’s strong on the Border, tough on Crime, understands how to use Taxes and Tariffs to hold China accountable, will fight to break up Big Tech, and has been a warrior on the Rigged and Stolen Presidential Election. J.D. is a Marine who served in the Iraq War, a graduate of The Ohio State University, and earned a Law Degree from Yale—a great student. With J.D. Vance, Ohio gets both brains and brawn. Ohio has been good to me, I won it twice, really BIG, and I have likewise been GREAT for Ohio. Let’s keep it going! It is time for the entire MAGA movement, the greatest in the history of our Country, to unite behind J.D.’s campaign because, unlike so many other pretenders and wannabes, he will put America First. In other words, J.D. Vance has my Complete and Total Endorsement. He will not let you down. MAKE AMERICA GREAT AGAIN!"
2022-04-11,Endorsement of Congressman Frank Lucas,/news/news-6hxhjdufq21851,"Congressman Frank Lucas is a strong advocate for the people of Oklahoma’s 3rd Congressional District. Frank is working hard to Grow our Economy, Encourage Innovation, Promote American Farmers, Defend the Second Amendment, and Support our Military and Vets. In 2016 and 2020, I won 77 of 77 counties in the Great State of Oklahoma, and I was proud to campaign alongside Oklahoma leaders like Frank. Frank Lucas has my Complete and Total Endorsement!"
2022-04-09,Endorsement of Dr. Oz,/news/news-hdzd7hjfbm1845,"This is all about winning elections in order to stop the Radical Left maniacs from destroying our Country. The Great Commonwealth of Pennsylvania has a tremendous opportunity to Save America by electing the brilliant and well-known Dr. Mehmet Oz for the United States Senate. I have known Dr. Oz for many years, as have many others, even if only through his very successful television show. He has lived with us through the screen and has always been popular, respected, and smart. He even said that I was in extraordinary health, which made me like him even more (although he also said I should lose a couple of pounds!). He is a graduate of Harvard University and earned a joint MD and MBA from the University of Pennsylvania School of Medicine and Wharton School of Finance. He has authored more than 350 original publications, written 8 New York Times bestsellers, and received patents for developing medical devices that have improved countless lives and performed thousands of life-saving heart operations. Dr. Oz is Pro-Life, very strong on Crime, the Border, Election Fraud, our Great Military, and our Vets, Tax Cuts, and will always fight for and support our under-siege Second Amendment. He will ensure America will become Energy Independent again. Dr. Oz also passionately believes in high-quality education and protecting parent involvement throughout the process. Perhaps most importantly, I believe that Mehmet Oz will be the one most able to win the General Election against a Radical Left Democrat looking to do unthinkable harm to our Country. Women, in particular, are drawn to Dr. Oz for his advice and counsel. I have seen this many times over the years. They know him, believe in him, and trust him. Likewise, he will do very well in Philadelphia and Pittsburgh, where other candidates will just not be accepted. He knows his job is to serve every single Pennsylvanian. Dr. Oz is smart, tough, and will never let you down, therefore, he has my Complete and Total Endorsement. Good luck, Dr. Oz. our Country needs you!"
2022-04-06,Endorsement of Congressman Jim Jordan,/news/news-c4nszf63hz1830,"Congressman Jim Jordan is an America First Champion for the people of Ohio’s 4th Congressional District, and our Country. Quite frankly, he is a truly outstanding man, and a fighter like no other. Jim is Strong on Crime, the Border, our Military, great Vets, and will save our seriously under-siege Second Amendment. He debunked the Russia, Russia, Russia Scam, the Ukraine, Ukraine, Ukraine made-up phone call, Impeachment Hoax #1, Impeachment Hoax #2, and the Mueller Report, which strongly stated “no collusion.” Jim will continue to hold the Radical Left accountable for their colossal incompetence and danger to our Country. He is a fierce advocate of our Make America Great Again agenda, and I was proud to award him our Country’s highest civilian honor, the Presidential Medal of Freedom. American Patriot Jim Jordan has my Complete and Total Endorsement!"
2022-04-06,Endorsement of Congresswoman Carol Miller,/news/news-ca2yrxzfev1831,"Congresswoman Carol Miller is doing an incredible job representing the people of West Virginia in Congress. She is working hard to Protect our Coal, Gas and Energy Jobs, Invest in American Workers, Defend the Second Amendment, and Protect our Children by Securing our Border, Upholding the Rule of Law and Stopping Opioids from reaching our Communities. Carol is an effective and respected leader in Congress, and has my Complete and Total Endorsement!"
2022-04-06,Endorsement of Congresswoman Marjorie Taylor Greene,/news/news-pccpheqwxx1832,"Marjorie Taylor Greene is a warrior in Congress. She doesn’t back down, she doesn’t give up, and she has ALWAYS been with “Trump.” Marjorie has worked very hard to secure the Border, stop the Radical Left, and ensure the truth is known about the RIGGED and STOLEN 2020 Presidential Election. She loves our Country and MAGA, its greatest ever political movement. Marjorie is running for re-election to Congress, and has my Complete and Total Endorsement!"
2022-04-06,Endorsement of Congressman Mike Johnson,/news/news-wv8ehrmmdy1833,"Congressman Mike Johnson is a phenomenal representative in Congress for the Great People of Louisiana. Mike is working hard to Secure our Southern Border, Support our Military and Vets, Protect our Second Amendment, Hold Joe Biden and the Radical Left accountable, and Defend our great Constitution. Mike Johnson is a tough fighter for the America First agenda, and has my Complete and Total Endorsement!"
2022-04-06,Endorsement of Congresswoman Kat Cammack,/news/news-ekqgtnegps1834,"Congresswoman Kat Cammack is doing a terrific job representing the people of Florida in Congress. Kat is working hard to Secure our Border, Promote American Agriculture, Defend the Second Amendment, Support our Brave First Responders, Military and Vets, and Hold Joe Biden and the Radical Left Accountable for their ongoing failures. The youngest Republican woman in Congress, Kat is a fighter for our America First agenda and our Country’s future. Kat has my Complete and Total Endorsement!"
2022-04-06,Endorsement of Congressman Brian Mast,/news/news-9pbtg5axwt1835,"Congressman Brian Mast is working hard in Congress for the incredible people of Florida. A U.S. Army Veteran and a Bronze Star and Purple Heart recipient, Brian is dedicated to serving our Country. Brian is Strong on National Security, the Border, Jobs, the Economy, our Second Amendment, the Military and our Brave Vets. Brian Mast is a Warrior for our movement, and has my Complete and Total Endorsement!"
2022-04-06,Endorsement of Congressman Greg Murphy,/news/news-pfmustzfjw1836,"Congressman Greg Murphy is doing a tremendous job representing the people of North Carolina’s 3rd Congressional District. He is working hard to Provide our Veterans with the Care they Deserve, Support our Military, Defend our Second Amendment, Lower Health Care Costs, and Secure our Border. I was proud to campaign for Greg during his landslide special election victory in 2019, and I am proud to do so again. I will see him on Saturday night at the big North Carolina Rally. Greg has my Complete and Total Endorsement!"
2022-04-03,Endorsement of Sarah Palin,/news/news-hdghzcbtft1806,"Wonderful patriot Sarah Palin of Alaska just announced that she is running for Congress, and that means there will be a true America First fighter on the ballot to replace the late and legendary Congressman Don Young. Sarah shocked many when she endorsed me very early in 2016, and we won big. Now, it’s my turn! Sarah has been a champion for Alaska values, Alaska energy, Alaska jobs, and the great people of Alaska. She was one of the most popular Governors because she stood up to corruption in both State Government and the Fake News Media. Sarah lifted the McCain presidential campaign out of the dumps despite the fact that she had to endure some very evil, stupid, and jealous people within the campaign itself. They were out to destroy her, but she didn’t let that happen. Sarah Palin is tough and smart and will never back down, and I am proud to give her my Complete and Total Endorsement, and encourage all Republicans to unite behind this wonderful person and her campaign to put America First!"
