name,name_sanitized,country,gender,samples,accuracy,duration,credits_used
frank,Frank,,male,66241,99,10ms,1
mehmet,Mehmet,,male,83497,93,15ms,1
carol,Carol,,female,29790,97,16ms,1
marjorie,Marjorie,,female,7864,98,15ms,1
mike,Mike,,male,116286,99,16ms,1
kat,Kat,,female,7587,95,15ms,1
brian,Brian,,male,69588,99,16ms,1
greg,Greg,,male,38516,99,16ms,1
jim,Jim,,male,40318,99,13ms,1
sarah,Sarah,,female,127402,98,17ms,1
mike,Mike,,male,116286,99,13ms,1
john,John,,male,219085,99,16ms,1
ken,Ken,,male,28348,98,15ms,1
john,John,,male,219085,99,16ms,1
john,John,,male,219085,99,21ms,1
john,John,,male,219085,99,20ms,1
madison,Madison,,female,4330,92,15ms,1
debbie,Debbie,,female,16945,98,12ms,1
kevin,Kevin,,male,140160,99,16ms,1
bill,Bill,,male,1354,100,11ms,1
patrick,Patrick,,male,118290,99,14ms,1
jimmy,Jimmy,,male,36002,98,13ms,1
glenn,Glenn,,male,9914,98,17ms,1
bob,Bob,,male,42812,97,14ms,1
steve,Steve,,male,80009,99,18ms,1
frederick,Frederick,,male,4891,99,14ms,1
wesley,Wesley,,male,13241,99,17ms,1
jake,Jake,,male,19342,98,17ms,1
brian,Brian,,male,69588,99,17ms,1
monica,Monica,,female,56741,98,11ms,1
phil,Phil,,male,25391,98,16ms,1
lance,Lance,,male,5051,99,11ms,1
randy,Randy,,male,14607,98,12ms,1
troy,Troy,,male,7393,99,16ms,1
katie,Katie,,female,27554,99,15ms,1
warren,Warren,,male,5767,99,22ms,1
john,John,,male,219085,99,13ms,1
claudia,Claudia,,female,72003,98,13ms,1
elise,Elise,,female,9916,97,16ms,1
kristi,Kristi,,female,4319,93,16ms,1
lisa,Lisa,,female,75562,98,15ms,1
russell,Russell,,male,7800,99,15ms,1
carlos,Carlos,,male,174998,99,16ms,1
jonathan,Jonathan,,male,84386,99,15ms,1
gary,Gary,,male,34244,99,18ms,1
mario,Mario,,male,112267,99,16ms,1
viktor,Viktor,,male,14163,98,16ms,1
derek,Derek,,male,15838,99,14ms,1
mary,Mary,,female,76726,98,14ms,1
sid,Sid,,male,4680,94,18ms,1
mike,Mike,,male,116286,99,15ms,1
andrew,Andrew,,male,82448,99,15ms,1
tim,Tim,,male,52554,99,14ms,1
vern,Vern,,male,494,92,14ms,1
angela,Angela,,female,69937,98,18ms,1
mike,Mike,,male,116286,99,16ms,1
lauren,Lauren,,female,25933,97,15ms,1
angela,Angela,,female,69937,98,12ms,1
byron,Byron,,male,4290,99,14ms,1
ronny,Ronny,,male,11469,98,17ms,1
roger,Roger,,male,34849,99,10ms,1
michael,Michael,,male,211741,99,14ms,1
beth,Beth,,female,12570,99,15ms,1
michael,Michael,,male,211741,99,19ms,1
david,David,,male,381770,99,17ms,1
anthony,Anthony,,male,85303,99,14ms,1
wendy,Wendy,,female,26404,96,17ms,1
dan,Dan,,male,61524,97,13ms,1
ryan,Ryan,,male,64450,99,17ms,1
jon,Jon,,male,32478,99,16ms,1
paul,Paul,,male,140849,99,18ms,1
mick,Mick,,male,9673,98,15ms,1
kevin,Kevin,,male,140160,99,17ms,1
john,John,,male,219085,99,17ms,1
matt,Matt,,male,57301,100,16ms,1
alex,Alex,,male,247706,92,12ms,1
mike,Mike,,male,116286,99,18ms,1
rachelle,Rachelle,,female,4693,96,21ms,1
matt,Matt,,male,57301,100,14ms,1
john,John,,male,219085,99,14ms,1
michael,Michael,,male,211741,99,16ms,1
chuck,Chuck,,male,7096,99,14ms,1
august,August,,male,3258,92,16ms,1
gus,Gus,,male,3402,97,12ms,1
janice,Janice,,female,7676,98,16ms,1
dawn,Dawn,,female,8697,100,15ms,1
jair,Jair,,male,5460,99,12ms,1
charles,Charles,,male,52754,98,17ms,1
steve,Steve,,male,80009,99,12ms,1
rick,Rick,,male,23370,99,15ms,1
geoff,Geoff,,male,5229,99,16ms,1
pete,Pete,,male,11701,99,17ms,1
kevin,Kevin,,male,140160,99,10ms,1
mike,Mike,,male,116286,99,18ms,1
diana,Diana,,female,59982,98,16ms,1
matt,Matt,,male,57301,100,14ms,1
anna,Anna,,female,184558,98,19ms,1
mark,Mark,,male,48064,100,17ms,1
harriet,Harriet,,female,2000,96,15ms,1
kristina,Kristina,,female,18828,98,11ms,1
steve,Steve,,male,80009,99,17ms,1
burt,Burt,,male,444,97,11ms,1
joe,Joe,,male,69132,97,19ms,1
sean,Sean,,male,37072,99,16ms,1
jonathan,Jonathan,,male,84386,99,16ms,1
adam,Adam,,male,101742,99,17ms,1
bill,Bill,,male,1354,100,17ms,1
derrick,Derrick,,male,5839,99,18ms,1
ken,Ken,,male,28348,98,14ms,1
ryan,Ryan,,male,64450,99,14ms,1
vito,Vito,,male,12145,98,14ms,1
mike,Mike,,male,116286,99,12ms,1
virginia,Virginia,,female,14661,98,16ms,1
john,John,,male,219085,99,15ms,1
greg,Greg,,male,38516,99,16ms,1
wilton,Wilton,,male,822,99,13ms,1
glenn,Glenn,,male,9914,98,17ms,1
dan,Dan,,male,61524,97,12ms,1
frank,Frank,,male,66241,99,15ms,1
marco,Marco,,male,133237,99,17ms,1
ron,Ron,,male,19779,99,17ms,1
drew,Drew,,male,8418,96,15ms,1
david,David,,male,381770,99,17ms,1
julia,Julia,,female,57688,97,16ms,1
john,John,,male,219085,99,812ms,1
tim,Tim,,male,52554,99,14ms,1
mike,Mike,,male,116286,99,16ms,1
henry,Henry,,male,32139,99,17ms,1
john,John,,male,219085,99,12ms,1
tim,Tim,,male,52554,99,14ms,1
max,Max,,male,69969,98,14ms,1
jerry,Jerry,,male,23367,98,14ms,1
