date,headline,url
2022-04-21,Endorsement of Congressman Mike Carey,/news/news-w7fukyaa5a0
2022-04-21,Endorsement of Congressman Bill Johnson,/news/news-ymqryh3tmq0
2022-04-21,Endorsement of Congressman Brad Wenstrup,/news/news-scese84qa80
2022-04-18,Endorsement of Congressman Ralph Norman,/news/news-97vsrrseeu1888
2022-04-18,Endorsement of Congressman William Timmons,/news/news-hbdtjzaefn1889
2022-04-15,PRESIDENT DONALD J. TRUMP ENDORSES J.D. VANCE FOR THE UNITED STATES SENATE IN OHIO,/news/news-w3bcbxwaju1882
2022-04-11,Endorsement of Congressman Frank Lucas,/news/news-6hxhjdufq21851
2022-04-09,Endorsement of Dr. Oz,/news/news-hdzd7hjfbm1845
2022-04-06,Endorsement of Congressman Jim Jordan,/news/news-c4nszf63hz1830
2022-04-06,Endorsement of Congresswoman Carol Miller,/news/news-ca2yrxzfev1831
2022-04-06,Endorsement of Congresswoman Marjorie Taylor Greene,/news/news-pccpheqwxx1832
2022-04-06,Endorsement of Congressman Mike Johnson,/news/news-wv8ehrmmdy1833
2022-04-06,Endorsement of Congresswoman Kat Cammack,/news/news-ekqgtnegps1834
2022-04-06,Endorsement of Congressman Brian Mast,/news/news-9pbtg5axwt1835
2022-04-06,Endorsement of Congressman Greg Murphy,/news/news-pfmustzfjw1836
2022-04-03,Endorsement of Sarah Palin,/news/news-hdghzcbtft1806
2022-04-01,Endorsement of Senator Mike Lee,/news/news-96up4rqajx1808
2022-04-01,Endorsement of Senator Mike Lee,/news/news-6sygkrfjtp1810
2022-03-31,Endorsement of John James,/news/news-quvbdxvwfg1796
2022-03-30,Endorsement of Congressman Ken Calvert,/news/news-njpv29u8ys1800
2022-03-22,Endorsement of John Gordon,/news/news-vnrvxutbqh1769
2022-03-18,Endorsement of Congressman John Joyce,/news/news-vwywrqwttv1749
2022-03-18,Endorsement of Senator John Hoeven,/news/news-9wcazuwten1750
2022-03-15,Endorsement of Madison Gesiotto Gilbert,/news/news-ux7qfutc8m1720
2022-03-15,Endorsement of Congresswoman Debbie Lesko,/news/news-qc7xcm8mzb1721
2022-03-14,Endorsement of Bo Hines,/news/news-wczycburfj1715
2022-03-14,Endorsement of Governor Kevin Stitt,/news/news-mavvcbruar1716
2022-03-11,Endorsement of Congressman Bill Huizenga,/news/news-t2aqxct3t71707
2022-03-11,Endorsement of Patrick Witt,/news/news-dhpcvxuazy1708
2022-03-04,Endorsement of Jimmy Patronis,/news/news-9j2dbnusax1676
2022-03-04,Endorsement of Ashley Moody,/news/news-3hfvchzk3t1670
2022-02-27,Endorsement of Comptroller Glenn Hegar,/news/news-judzdpzk5a1637
2022-02-26,Endorsement of Congressman Bob Good,/news/news-gfjbxq5bfx1640
2022-02-22,Endorsement of Frederick Frazier,/news/news-xqzmr5usdc1618
